"N","24"
"Fb:(1)/b9","5  4"
"F#:(1)/b9","7  6"
"G:(1)/b9","8  7"
"Gb:(1)/b9","7  6"
"G#:(1)/b9","9  8"
"A:(1)/b9","10   9"
"Ab:(1)/b9","9  8"
"A#:(1)/b9","11  10"
"B:(1)/b9","0  11"
"Bb:(1)/b9","11  10"
"B#:(1)/b9","1  0"
"C:(1)/#1","1  0"
"Cb:(1)/#1","0  11"
"C#:(1)/#1","2  1"
"D:(1)/#1","3  2"
"Db:(1)/#1","2  1"
"D#:(1)/#1","4  3"
"E:(1)/#1","5  4"
"Eb:(1)/#1","4  3"
"E#:(1)/#1","6  5"
"F:(1)/#1","6  5"
"Fb:(1)/#1","5  4"
"F#:(1)/#1","7  6"
"G:(1)/#1","8  7"
"Gb:(1)/#1","7  6"
"G#:(1)/#1","9  8"
"A:(1)/#1","10   9"
"Ab:(1)/#1","9  8"
"A#:(1)/#1","11  10"
"B:(1)/#1","0  11"
"Bb:(1)/#1","11  10"
"B#:(1)/#1","1  0"
"C:(1)/#2","3  0"
"Cb:(1)/#2","2  11"
"C#:(1)/#2","4  1"
"D:(1)/#2","5  2"
"Db:(1)/#2","4  1"
